out_channel0,M,R1,R2,R3,R4,R5,convblock1,widenfact1,B1,convblock2,widenfact2,B2,convblock3,widenfact3,B3,convblock4,widenfact4,B4,convblock5,widenfact5,B5,1_day_accuracy,1_day_accuracy_std,AVM
23,2,2,15,0,0,0,B,3,8,A,2,1,0,0,0,0,0,0,0,0,0,0.8297795401352711,0.25301453104217697,19.265918640446603
19,5,9,4,10,16,14,C,4,9,D,1,1,D,4,4,C,2,11,D,2,6,0.9057739331894292,0.05799687429069335,19.18784005671305
45,1,2,0,0,0,0,A,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9107669284296251,0.07482954970201303,14.245041746467054
109,4,16,1,1,6,0,C,2,5,D,3,3,B,4,8,B,2,5,0,0,0,0.9066271102627218,0.09696809367628631,18.266070512843214
87,5,12,9,4,15,2,A,2,11,C,2,12,D,4,3,B,1,12,B,2,5,0.9056860154062939,0.0849206547446585,18.64840953668273
42,1,11,0,0,0,0,D,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.9099214889587277,0.06772406238453703,15.201098245177494
68,3,2,16,8,0,0,D,4,1,D,4,6,C,1,11,0,0,0,0,0,0,0.9196803122399528,0.031594973143303576,18.708556857107943
121,4,7,2,2,5,0,A,4,4,D,4,11,B,2,5,B,4,5,0,0,0,0.9443073929725607,0.07543764285668414,17.54716695339389
29,5,13,10,8,5,5,B,1,4,A,3,6,A,2,5,C,2,2,B,3,3,0.9452216386556332,0.08331664827938243,16.56794428245354
122,1,9,0,0,0,0,D,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7580965487626776,0.2899477312915232,19.179745447018355
58,1,14,0,0,0,0,C,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.7768861983499717,0.11035641906031826,20.692807097959985
90,3,1,14,12,0,0,C,4,1,B,3,8,D,1,12,0,0,0,0,0,0,0.9062705177701745,0.09704221537906532,15.548970616092557
24,4,1,13,14,8,0,B,4,11,C,3,11,C,2,4,D,4,12,0,0,0,0.9131294025521814,0.041927784172692245,15.649613513858561
108,2,9,10,0,0,0,C,2,10,D,4,1,0,0,0,0,0,0,0,0,0,0.9077437915369597,0.09495238805673505,14.39943404241858
32,3,6,13,11,0,0,B,4,2,B,3,1,A,4,1,0,0,0,0,0,0,0.9403685792368847,0.03440646822249721,15.17140789890308
117,5,3,6,8,12,1,D,2,4,B,1,5,A,1,7,B,2,8,B,4,2,0.9201696077608783,0.09580964817909594,17.07759358960099
27,3,10,1,5,0,0,D,2,7,A,4,3,B,3,9,0,0,0,0,0,0,0.9194488812434191,0.04588825328510294,14.840215482898499
78,4,12,11,9,10,0,C,2,9,A,2,7,C,4,7,A,1,8,0,0,0,0.9444591980309079,0.07127316453891179,14.343491052998198
117,5,15,2,4,12,6,D,4,1,D,1,11,A,2,8,D,3,2,B,4,8,0.9211842277785294,0.03952838785939186,16.743441752409964
37,2,8,9,0,0,0,B,3,1,A,2,9,0,0,0,0,0,0,0,0,0,0.7692258472156329,0.21208366465754708,18.056494622936363
20,1,1,0,0,0,0,B,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6660666158487121,0.20288100059414577,21.60684839156293
56,1,4,0,0,0,0,D,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0.6873303789392433,0.2964595912232496,21.262952467469727
17,3,10,8,1,0,0,D,3,7,A,3,4,A,3,10,0,0,0,0,0,0,0.7929160562131381,0.2594197043750327,18.21708643272029
45,2,3,10,0,0,0,A,4,2,C,4,6,0,0,0,0,0,0,0,0,0,0.9230707825967746,0.08199875961684966,17.807831557083983
124,5,11,6,11,10,12,C,2,12,A,1,2,C,1,12,B,3,7,D,2,11,0.9219177937941436,0.09223976718797673,15.314915937609271
8,1,6,0,0,0,0,B,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0.8632605427147035,0.25668875439749617,21.451318497647524
113,2,3,14,0,0,0,A,4,6,D,4,10,0,0,0,0,0,0,0,0,0,0.9210029241977511,0.0689760076902152,18.78900052916453
29,3,15,12,12,0,0,B,4,2,D,1,9,A,2,12,0,0,0,0,0,0,0.9136390772717701,0.08858691075499699,19.865263335774856
62,2,13,15,0,0,0,A,3,1,D,2,11,0,0,0,0,0,0,0,0,0,0.7484161454161826,0.21898455396197633,16.17008998852001
35,2,2,16,0,0,0,B,1,12,C,3,5,0,0,0,0,0,0,0,0,0,0.7365112433111433,0.24488687426429082,19.900118132521655
71,3,13,9,1,0,0,B,1,12,C,1,11,A,3,3,0,0,0,0,0,0,0.8184403673751465,0.2949156737872184,17.37485756522151
36,2,13,10,0,0,0,C,3,12,C,1,12,0,0,0,0,0,0,0,0,0,0.7936740033046503,0.19204319709010964,15.72481453195766
57,4,3,7,14,3,0,B,2,5,D,1,10,B,1,11,B,4,4,0,0,0,0.924519740809673,0.026240739201515623,17.624209041931856
95,2,1,2,0,0,0,A,1,6,B,4,4,0,0,0,0,0,0,0,0,0,0.910737964437779,0.07058812476395025,16.981386438273923
17,3,13,15,9,0,0,B,1,11,A,4,11,B,4,3,0,0,0,0,0,0,0.9479314179947385,0.07327322582619028,19.42806989603573
116,4,7,16,16,7,0,D,4,5,A,3,2,B,3,7,A,1,5,0,0,0,0.9127315749016784,0.08793595875356809,16.602390881408567
78,1,2,0,0,0,0,A,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.6960763266883442,0.1845229274786891,15.069458097570093
116,2,12,7,0,0,0,D,2,5,B,3,3,0,0,0,0,0,0,0,0,0,0.7647570935487487,0.28038597368302787,16.363253781459452
111,2,2,16,0,0,0,B,3,11,C,1,3,0,0,0,0,0,0,0,0,0,0.7890495512599,0.16185668749111162,21.362795159535324
66,3,5,4,5,0,0,C,1,9,C,3,6,A,4,2,0,0,0,0,0,0,0.9413292822149525,0.08312716385479445,17.371575378753008
47,4,11,14,6,4,0,D,2,9,C,1,2,B,1,10,C,3,11,0,0,0,0.948857151252391,0.058869804211802934,15.856154147759046
67,4,5,4,12,8,0,C,1,12,C,3,8,A,1,2,D,4,3,0,0,0,0.9158086478464073,0.0395468193480532,15.460674826924533
38,4,3,5,8,10,0,D,1,4,D,3,6,B,2,9,D,1,3,0,0,0,0.945428473025968,0.07666952536121326,14.12151546511989
78,5,14,5,16,14,15,C,3,5,B,3,12,A,4,6,D,3,9,C,3,3,0.929180454943454,0.0335587955825153,16.65554209366904
76,2,5,14,0,0,0,C,1,8,D,1,3,0,0,0,0,0,0,0,0,0,0.7686902063281913,0.2451657096355692,20.15623872451978
34,3,16,9,13,0,0,C,4,5,C,1,1,D,1,2,0,0,0,0,0,0,0.9072539011316778,0.07933963852205138,18.138147829528723
20,5,12,9,13,13,10,B,2,8,B,2,8,B,2,8,A,4,8,A,4,12,0.9130935198731335,0.09356092494190024,15.821999073165433
63,5,11,6,14,10,12,D,4,7,D,1,12,C,4,5,B,1,7,D,1,9,0.9265092851175415,0.07780536153298166,16.439587728889396
32,1,3,0,0,0,0,D,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6719052070995668,0.19365318501951279,18.444757863248846
108,3,2,14,12,0,0,B,4,12,D,4,11,A,2,4,0,0,0,0,0,0,0.9031749623799962,0.09355490587718704,17.512201315039015
40,5,5,2,10,10,15,A,4,8,B,3,1,D,4,1,A,3,2,C,1,6,0.9225212588777884,0.07593898285292056,14.30443843840463
94,1,15,0,0,0,0,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8742014869547285,0.18111292529792114,20.855115852883714
80,5,3,12,13,9,8,B,4,1,D,3,4,A,1,2,C,4,10,C,2,2,0.9061945191558265,0.026973719803782565,17.805489923730786
22,2,10,3,0,0,0,C,2,3,D,1,2,0,0,0,0,0,0,0,0,0,0.881213370141619,0.15597877573402624,16.33755490456152
56,1,5,0,0,0,0,D,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0.654376763876479,0.259144157404654,15.85288891199007
104,4,2,12,16,12,0,A,3,12,C,2,4,A,1,5,B,2,11,0,0,0,0.923346713576059,0.06059465468520413,14.183284813514208
10,1,14,0,0,0,0,C,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0.9105011177231601,0.06333223931086006,16.307522164491683
110,5,2,12,3,16,10,D,3,10,A,3,2,A,3,9,D,2,9,A,3,1,0.9348470076391375,0.04504887680015718,16.696341040007184
47,5,5,16,15,3,4,B,2,1,B,2,7,D,3,4,A,1,2,A,2,4,0.9481777658296231,0.05668536565585887,18.775734428236362
58,3,11,6,6,0,0,D,2,3,D,1,3,C,1,6,0,0,0,0,0,0,0.6856445962303683,0.1489573287828596,21.954076077722377
55,2,7,6,0,0,0,B,4,2,A,3,11,0,0,0,0,0,0,0,0,0,0.9365573676759359,0.04692013808898528,17.806567547029584
108,1,10,0,0,0,0,A,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0.7899775173494443,0.2342920976603932,18.780658215875803
100,3,11,15,3,0,0,D,3,3,A,3,5,B,4,11,0,0,0,0,0,0,0.909714259741664,0.029022432940920977,17.237216762816903
61,1,2,0,0,0,0,D,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.9025573437881286,0.06779998012167761,19.806424850143564
59,1,3,0,0,0,0,A,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0.9051799335047371,0.08382394808109299,19.26568975936976
8,1,6,0,0,0,0,B,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.7233896401830007,0.2574921960518479,16.146348873693892
44,3,13,2,12,0,0,B,1,11,B,2,12,C,1,12,0,0,0,0,0,0,0.7137806384257682,0.28141900090105954,17.339778456815818
79,1,4,0,0,0,0,C,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7905993829942906,0.22871764779982467,17.737315358749584
101,4,13,16,13,2,0,D,3,6,B,2,1,D,3,12,C,2,7,0,0,0,0.9350531222319884,0.07703093556946945,14.845196338809684
33,4,5,4,14,6,0,C,4,7,B,3,3,A,2,10,D,4,12,0,0,0,0.9142796883989045,0.024010015085951047,17.868568737047678
101,2,2,5,0,0,0,A,2,10,C,2,12,0,0,0,0,0,0,0,0,0,0.8565654500767477,0.10872162135406956,20.81655555627368
68,1,2,0,0,0,0,D,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.7343009728559691,0.11406970027270524,21.46395495269606
34,2,4,9,0,0,0,C,4,4,A,4,12,0,0,0,0,0,0,0,0,0,0.9217787127264413,0.07835098841572481,14.32179430541055
85,4,1,2,14,16,0,D,2,8,B,2,10,B,1,1,B,4,11,0,0,0,0.9038748280729765,0.02675193127926324,14.693730411627081
123,4,15,16,11,2,0,D,4,10,B,1,5,D,1,9,B,4,8,0,0,0,0.9051228042835632,0.07640692786523044,14.827792923235691
54,4,8,1,12,7,0,B,1,7,A,1,11,A,1,1,D,2,10,0,0,0,0.9076710827819637,0.0655104092960731,15.711548580114584
16,3,6,14,12,0,0,A,1,5,C,3,7,B,4,11,0,0,0,0,0,0,0.9370897256290961,0.08932443126987699,15.927520008322125
95,4,10,2,2,4,0,B,1,8,A,2,12,A,2,11,B,3,11,0,0,0,0.9147287554244048,0.047851843559944846,18.832018453596486
68,1,6,0,0,0,0,D,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.8013099300083031,0.20597610829084162,19.409589548818932
90,4,3,16,3,9,0,B,1,12,A,3,3,D,1,11,C,1,8,0,0,0,0.9157090211236221,0.08501038634260101,17.011805379136636
74,1,3,0,0,0,0,D,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.6680654654012036,0.27014229797399614,15.21419218524746
51,5,9,11,12,5,8,C,2,9,A,3,5,C,3,3,B,4,7,B,3,12,0.93981852381757,0.04887745994660231,17.375938028094417
80,4,4,1,2,15,0,D,1,10,D,2,5,B,1,8,D,3,10,0,0,0,0.9262730689656605,0.03276476927217483,17.50924779105201
120,3,8,2,12,0,0,B,3,10,B,1,2,B,2,1,0,0,0,0,0,0,0.8475357496012866,0.25532614498760575,19.903195706399934
108,2,4,6,0,0,0,C,1,2,D,2,2,0,0,0,0,0,0,0,0,0,0.6986974439303878,0.25174447497309094,19.516508161838367
34,3,7,15,1,0,0,B,1,12,C,3,7,D,4,1,0,0,0,0,0,0,0.9237495420212375,0.07482933304064689,14.37554009570141
14,1,12,0,0,0,0,A,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.8279492801632932,0.26212758765964117,20.91581922221707
58,5,16,9,12,12,9,D,4,7,C,4,6,D,4,1,C,1,8,D,3,12,0.9308219828219345,0.04434670306180481,16.869400521747885
20,1,4,0,0,0,0,B,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0.9271465091025491,0.09417691074419123,16.839004303332455
100,5,12,10,3,5,7,B,2,3,B,4,2,D,1,4,C,1,6,C,1,11,0.9149864784495481,0.0766415996929871,16.486342225278378
37,3,15,9,2,0,0,B,3,7,A,3,6,D,2,3,0,0,0,0,0,0,0.8504734161785186,0.15943857551793264,18.45041246896532
126,5,1,8,15,3,7,B,4,2,C,2,6,D,1,7,B,2,4,D,1,5,0.9276997280484724,0.036193815326228514,17.89145822047948
101,5,15,8,7,4,3,A,2,4,D,4,3,C,4,4,D,4,6,D,4,10,0.9192719716405581,0.08416089125654284,15.874051651081796
10,3,11,4,10,0,0,B,2,8,D,2,2,B,1,10,0,0,0,0,0,0,0.6832530555538393,0.11706956542050595,18.39546751989869
96,1,5,0,0,0,0,A,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.8325369600691606,0.10400229233232104,19.752256762063894
17,1,2,0,0,0,0,B,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.6963342503399738,0.24440948662868553,18.564131413091882
107,5,5,8,7,8,14,C,1,6,C,2,7,A,1,9,C,3,10,C,1,11,0.9097384104378059,0.04009017151633508,19.361574978625868
39,2,12,5,0,0,0,A,3,11,A,4,1,0,0,0,0,0,0,0,0,0,0.9311858839500846,0.06411229650348019,16.988005610446454
24,3,10,15,8,0,0,A,3,11,B,3,7,C,2,1,0,0,0,0,0,0,0.7708671565744079,0.12321247952465451,15.580871275263624
45,4,6,8,14,16,0,D,1,4,B,2,10,C,2,5,B,3,6,0,0,0,0.9416712146474808,0.07390420521704213,16.733491756319076
46,3,15,15,15,0,0,C,4,1,D,2,4,B,4,10,0,0,0,0,0,0,0.9147611532217612,0.03333345847443085,17.710794226610474
104,5,7,6,15,9,7,A,2,11,A,2,7,A,2,12,A,1,1,A,1,2,0.9119355161692411,0.0844154654849537,18.896194076241354
80,2,2,1,0,0,0,B,4,2,D,3,7,0,0,0,0,0,0,0,0,0,0.9397793437292848,0.051541300699634834,16.239229304023215
11,3,2,9,10,0,0,D,3,6,D,1,6,B,4,1,0,0,0,0,0,0,0.906162215755665,0.03605107919804808,16.819304652160575
62,4,15,12,3,14,0,C,3,1,A,1,12,D,1,3,A,1,8,0,0,0,0.9274355435206034,0.03573334793498413,16.98187611303531
95,3,7,7,2,0,0,B,2,7,D,4,4,B,1,1,0,0,0,0,0,0,0.9148393721176089,0.08919316848506814,17.233845324808808
45,5,10,7,6,10,11,A,1,2,C,2,8,B,4,3,A,2,11,B,4,6,0.9190607711858597,0.09725600176139983,18.60414144300282
76,4,6,5,7,12,0,C,4,12,B,4,5,A,4,2,D,3,10,0,0,0,0.9373526732766289,0.04840326247829679,15.98298666200245
25,5,3,13,6,12,4,C,2,9,D,3,3,D,1,8,B,1,6,B,4,4,0.9325442782692938,0.04498020172894912,19.517876240337813
114,1,9,0,0,0,0,B,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0.6632394926934544,0.27009034295237755,19.38867603077305
27,4,1,8,11,5,0,A,3,12,D,1,12,A,1,12,B,2,11,0,0,0,0.9459614891204938,0.08777370770910613,17.331508112860835
102,3,12,16,3,0,0,C,2,4,B,3,12,B,3,1,0,0,0,0,0,0,0.7256784448540808,0.24942924577619874,21.95778546248827
114,2,1,3,0,0,0,C,4,7,C,2,2,0,0,0,0,0,0,0,0,0,0.9210721708806668,0.03490876195277397,17.93845022109467
74,2,10,7,0,0,0,D,4,1,D,3,9,0,0,0,0,0,0,0,0,0,0.9049303807995526,0.05501119386843385,14.0774718592948
77,2,11,7,0,0,0,A,3,2,D,2,12,0,0,0,0,0,0,0,0,0,0.7503780663557773,0.17676271128621066,21.198400865329113
113,2,13,14,0,0,0,B,1,11,A,3,9,0,0,0,0,0,0,0,0,0,0.7344080347340387,0.26548530142831583,16.65648484137206
49,3,8,1,10,0,0,C,3,3,B,2,4,A,3,1,0,0,0,0,0,0,0.8812975551443057,0.13934371581804544,21.147288107417534
50,3,15,14,11,0,0,B,3,7,D,1,1,A,3,2,0,0,0,0,0,0,0.8708963398637047,0.21225747180131443,21.48772661638923
119,3,4,15,16,0,0,A,2,8,B,4,10,B,4,1,0,0,0,0,0,0,0.9404370288310411,0.055449509982844175,18.2703433101138
95,3,5,11,15,0,0,B,3,2,C,3,11,C,2,8,0,0,0,0,0,0,0.7428266461322077,0.14550042873746077,20.093987039426445
35,1,14,0,0,0,0,C,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7009005218526201,0.2937143673861474,20.348916367389183
99,5,13,9,13,10,3,A,3,10,B,4,8,A,4,9,A,3,6,B,1,3,0.9282298027984913,0.05328754682215775,18.313564180949797
31,5,3,15,12,11,13,C,3,5,B,2,10,D,4,1,D,2,12,C,3,1,0.9319778208868644,0.07382872051719823,14.582678624177086
66,1,14,0,0,0,0,C,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0.6767438237516977,0.14637396859847962,16.58330557788336
63,4,15,1,5,9,0,C,1,11,C,3,4,B,1,10,B,2,8,0,0,0,0.9496748729294968,0.07687179900689292,15.384561284526807
75,5,15,1,5,10,7,A,2,1,D,3,2,B,4,11,B,4,4,D,1,4,0.9140931145588472,0.03341723262339901,14.33544185333061
117,1,15,0,0,0,0,A,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.7929834206311467,0.15072240407048737,18.869733455471785
64,5,5,16,16,13,12,C,3,12,D,3,11,B,1,3,D,4,2,B,1,8,0.9209369050636507,0.06600524455966865,16.606364799608627
51,5,6,2,11,2,16,B,4,8,A,4,8,D,3,3,B,4,11,C,1,12,0.9100091528988604,0.06613763472443121,18.763854533603013
43,2,5,13,0,0,0,D,4,4,B,3,5,0,0,0,0,0,0,0,0,0,0.9442586700525889,0.027037035347252453,15.863181246649496
111,4,2,10,13,7,0,D,4,3,B,4,4,A,3,6,D,1,3,0,0,0,0.927895670087139,0.03936588073908634,14.577314363651874
66,3,9,14,16,0,0,D,2,11,C,1,2,D,4,1,0,0,0,0,0,0,0.9038048815915752,0.057007631642156026,19.086409631908047
97,3,1,16,2,0,0,D,1,1,D,1,7,A,2,4,0,0,0,0,0,0,0.8717883838659264,0.16968150440574534,16.06388879916731
107,5,5,4,7,6,11,D,2,11,C,3,1,A,1,3,B,3,5,A,1,6,0.9095560065848858,0.06324126209563498,15.9754714157574
124,2,10,4,0,0,0,C,3,2,B,3,5,0,0,0,0,0,0,0,0,0,0.8075691787202212,0.25692305790737746,16.99216145450953
37,5,15,13,9,13,9,D,3,1,A,3,12,C,4,12,B,4,8,D,4,9,0.9479037640075085,0.024947948019431135,14.546674481226693
24,3,10,15,13,0,0,B,1,9,C,4,6,B,4,12,0,0,0,0,0,0,0.915260256529983,0.07021866455810784,14.519271813381934
113,1,9,0,0,0,0,C,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.9169242932692392,0.05116874114995408,14.045081436708355
99,3,10,5,3,0,0,C,1,9,D,1,11,B,3,11,0,0,0,0,0,0,0.8211329350632286,0.18089659128046215,16.96316092551422
51,1,12,0,0,0,0,B,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0.9430674240989225,0.07273934113933742,19.55123064528615
58,5,11,12,14,3,13,C,2,2,B,3,9,C,3,7,D,2,5,C,1,6,0.9247165466336515,0.026859518573672282,19.187443206355155
79,4,9,9,16,14,0,B,3,8,A,2,3,C,2,12,B,2,10,0,0,0,0.9216256904326873,0.02061375893938334,16.996359247383893
38,5,13,15,6,5,8,C,4,10,C,1,2,D,1,4,C,1,1,D,1,2,0.9138297788527032,0.043227144325089145,15.374052944279558
9,1,13,0,0,0,0,B,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7462139315462508,0.1445409129589479,18.227048990907818
63,2,8,6,0,0,0,B,4,3,A,2,1,0,0,0,0,0,0,0,0,0,0.920531934672592,0.07347002163096933,15.238529730254303
74,3,10,16,10,0,0,D,3,9,D,4,12,B,3,2,0,0,0,0,0,0,0.9480449661967865,0.08569841459064483,15.80260584297773
83,3,3,2,10,0,0,D,3,9,A,2,7,B,2,10,0,0,0,0,0,0,0.6805864562758711,0.29215207584206176,18.29045627692423
90,1,6,0,0,0,0,A,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0.9218991442109481,0.04960692505262576,15.813349899055469
77,1,14,0,0,0,0,D,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6578322800007186,0.1723905656166972,16.69934668208049
10,1,2,0,0,0,0,B,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8111117534538718,0.26963417835844505,19.7548695125498
93,4,6,16,7,4,0,B,3,2,C,1,7,C,4,1,C,1,4,0,0,0,0.9206133939740759,0.02270253172308694,16.43708518276841
123,1,3,0,0,0,0,A,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.9306012839582352,0.07656635745414668,15.217200112215092
29,3,6,8,7,0,0,B,2,6,C,2,8,B,4,12,0,0,0,0,0,0,0.9349117313822738,0.09319233294149401,19.77926743788724
73,1,2,0,0,0,0,D,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.7709415926468004,0.2660885114581553,17.213048816513258
123,5,3,15,5,14,6,A,4,10,B,1,11,C,2,3,D,4,10,D,4,3,0.9222283173911848,0.0562985275160659,19.21869017119794
106,5,6,16,6,9,14,D,2,9,C,3,11,B,3,6,A,1,5,B,4,12,0.9075853974631796,0.07189065696947473,15.42733069470384
41,1,14,0,0,0,0,C,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0.6956692742060685,0.10930973071189952,19.418919762421126
57,3,13,3,5,0,0,C,4,5,C,4,9,B,4,7,0,0,0,0,0,0,0.9420566875871546,0.06745257138777445,19.1517355929701
46,4,7,12,13,11,0,C,4,2,A,4,12,C,3,1,B,2,11,0,0,0,0.937463139638323,0.0671982537777579,15.720388649982123
95,5,12,12,14,12,10,B,3,5,D,4,1,C,3,2,A,3,12,A,4,2,0.918974815382568,0.06988231655662537,17.781948088029715
32,2,16,3,0,0,0,D,4,6,C,3,6,0,0,0,0,0,0,0,0,0,0.9083317255143544,0.058129060117570144,16.610358803323315
107,1,10,0,0,0,0,B,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.795852410254537,0.11514929972149451,21.51120161690519
124,5,10,5,8,16,1,B,4,4,C,1,4,B,3,11,B,3,6,B,1,6,0.9153808008895257,0.08377066401354527,19.730644233929294
108,3,11,10,2,0,0,D,2,10,D,4,2,C,3,1,0,0,0,0,0,0,0.921219072725325,0.034391367412241886,18.841080670656332
108,4,16,9,8,14,0,C,4,6,C,3,11,B,4,4,A,4,4,0,0,0,0.9481380171260618,0.08194184255118225,18.97247849222526
9,1,11,0,0,0,0,B,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0.7483620466741685,0.14966567347207332,19.883289752745103
66,3,5,13,14,0,0,D,3,11,C,3,2,B,4,10,0,0,0,0,0,0,0.9427704326943124,0.036940023028705984,14.752566107359703
84,2,15,9,0,0,0,B,3,4,B,4,2,0,0,0,0,0,0,0,0,0,0.943259900673281,0.0946757714321882,16.698428422363556
89,1,8,0,0,0,0,A,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.7020677287288107,0.17277520453076955,19.960861659017393
